factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
98530	2321	10000-kreekly/mp3/Kendra/carrot.mp3	морковь	{1008=kendra}	{1002=eng-rus}
98531	2321	10000-kreekly/mp3/Kimberly/carrot.mp3	морковь	{1008=kimberly}	{1002=eng-rus}
98532	2321	10000-kreekly/mp3/Justin/carrot.mp3	морковь	{1008=justin}	{1002=eng-rus}
98533	2321	10000-kreekly/mp3/Joanna/carrot.mp3	морковь	{1008=joanna}	{1002=eng-rus}
98534	2321	10000-kreekly/mp3/Salli/carrot.mp3	морковь	{1008=salli}	{1002=eng-rus}
98535	2321	10000-kreekly/mp3/Matthew/carrot.mp3	морковь	{1008=matthew}	{1002=eng-rus}
118605	2321	5000-studynow/mp3/carrot.mp3	морковь	{}	{1002=eng-rus}
125488	2321	8000-wordsteps/mp3/carrot.mp3	морковь	{}	{1002=eng-rus}
88573	2324	10000-kreekly/mp3/Joey/cucumber.mp3	огурец	{1008=joey}	{1002=eng-rus}
88574	2324	10000-kreekly/mp3/Kendra/cucumber.mp3	огурец	{1008=kendra}	{1002=eng-rus}
88575	2324	10000-kreekly/mp3/Kimberly/cucumber.mp3	огурец	{1008=kimberly}	{1002=eng-rus}
88576	2324	10000-kreekly/mp3/Justin/cucumber.mp3	огурец	{1008=justin}	{1002=eng-rus}
88577	2324	10000-kreekly/mp3/Joanna/cucumber.mp3	огурец	{1008=joanna}	{1002=eng-rus}
88578	2324	10000-kreekly/mp3/Salli/cucumber.mp3	огурец	{1008=salli}	{1002=eng-rus}
88579	2324	10000-kreekly/mp3/Matthew/cucumber.mp3	огурец	{1008=matthew}	{1002=eng-rus}
119396	2324	5000-studynow/mp3/cucumber.mp3	огурец	{}	{1002=eng-rus}
125524	2324	8000-wordsteps/mp3/cucumber.mp3	огурец	{}	{1002=eng-rus}
101430	2327	10000-kreekly/mp3/Joey/pepper.mp3	перец	{1008=joey}	{1002=eng-rus}
101431	2327	10000-kreekly/mp3/Kendra/pepper.mp3	перец	{1008=kendra}	{1002=eng-rus}
